
Project:     chc-rt-ppp
Program:     GrafNav Version 8.70.8722
Profile:     Grid (Selectable)
Source:      GNSS Epochs(GNSS Combined)
ProcessInfo: chc-rt-ppp by Unknown on 11/6/2021 at 11:35:08

Datum:       ITRF2014
Master 1:    Name ISTA00TUR, Status ENABLED
             Antenna height 0.061 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 41 06 16.01860, 29 01 09.63879, 147.244 m [ITRF2014, N/A]
Remote:      Antenna height 0.000 m, to ARP [CHCI90(NONE)]
Geoid:       EGM2008-World.wpg [] (Absolute correction)

Map projection Info:
  Defined grid: UTM, Zone 35
SD Scaling Settings:
  Position: 1.0000
  Velocity: 1.0000

   GPSTime      Easting     Northing     h-Ell     H-MSL Q SDHoriz SDHeigh AmbStatus  Description     
     (HMS)          (m)          (m)       (m)       (m)       (m)     (m)                            
11:29:54.0   669596.153  4552264.490   130.068    92.784 1   0.011   0.020 Fixed      N/A!            
11:29:55.0   669596.152  4552264.494   130.069    92.785 1   0.010   0.019 Fixed      N/A!            
11:29:56.0   669596.150  4552264.490   130.071    92.787 1   0.009   0.017 Fixed      N/A!            
11:29:57.0   669596.150  4552264.485   130.068    92.785 1   0.008   0.015 Fixed      N/A!            
11:29:58.0   669596.149  4552264.496   130.067    92.784 1   0.008   0.015 Fixed      N/A!            
11:29:59.0   669596.155  4552264.487   130.066    92.782 1   0.008   0.015 Fixed      N/A!            
11:30:00.0   669596.154  4552264.491   130.067    92.783 1   0.008   0.014 Fixed      N/A!            
11:30:01.0   669596.155  4552264.492   130.066    92.783 1   0.008   0.014 Fixed      N/A!            
11:30:02.0   669596.149  4552264.492   130.066    92.782 1   0.008   0.013 Fixed      N/A!            
11:30:03.0   669596.146  4552264.483   130.070    92.787 1   0.008   0.013 Fixed      N/A!            
11:30:04.0   669596.151  4552264.484   130.070    92.786 1   0.008   0.013 Fixed      N/A!            
11:30:05.0   669596.158  4552264.489   130.070    92.786 1   0.008   0.013 Fixed      N/A!            
11:30:06.0   669596.165  4552264.486   130.074    92.790 1   0.008   0.013 Fixed      N/A!            
11:30:07.0   669596.168  4552264.485   130.074    92.790 1   0.008   0.013 Fixed      N/A!            
11:30:08.0   669596.171  4552264.486   130.072    92.788 1   0.008   0.013 Fixed      N/A!            
11:30:09.0   669596.168  4552264.488   130.071    92.787 1   0.008   0.013 Fixed      N/A!            
11:30:10.0   669596.171  4552264.487   130.069    92.785 1   0.008   0.013 Fixed      N/A!            
11:30:11.0   669596.172  4552264.485   130.070    92.787 1   0.008   0.013 Fixed      N/A!            
11:30:12.0   669596.164  4552264.491   130.067    92.784 1   0.008   0.013 Fixed      N/A!            
11:30:13.0   669596.164  4552264.486   130.073    92.789 1   0.008   0.013 Fixed      N/A!            
11:30:14.0   669596.164  4552264.485   130.071    92.787 1   0.008   0.013 Fixed      N/A!            
11:30:15.0   669596.152  4552264.498   130.069    92.786 1   0.008   0.013 Fixed      N/A!            
11:30:16.0   669596.151  4552264.483   130.073    92.789 1   0.008   0.013 Fixed      N/A!            
11:30:17.0   669596.155  4552264.479   130.073    92.790 1   0.008   0.013 Fixed      N/A!            
11:30:18.0   669596.159  4552264.477   130.076    92.792 1   0.008   0.013 Fixed      N/A!            
11:30:19.0   669596.161  4552264.479   130.078    92.794 1   0.008   0.013 Fixed      N/A!            
11:30:20.0   669596.174  4552264.477   130.076    92.793 1   0.008   0.013 Fixed      N/A!            
11:30:21.0   669596.105  4552264.504   130.065    92.781 1   0.008   0.013 Fixed      N/A!            
11:30:22.0   669596.122  4552264.507   130.060    92.776 1   0.008   0.013 Fixed      N/A!            
11:30:23.0   669596.162  4552264.469   130.080    92.796 1   0.008   0.013 Fixed      N/A!            
11:30:24.0   669596.130  4552264.468   130.077    92.793 1   0.008   0.013 Fixed      N/A!            
11:30:25.0   669596.138  4552264.448   130.080    92.796 1   0.008   0.013 Fixed      N/A!            
11:30:26.0   669596.149  4552264.432   130.081    92.798 1   0.008   0.013 Fixed      N/A!            
11:30:27.0   669596.133  4552264.444   130.079    92.796 1   0.008   0.013 Fixed      N/A!            
11:30:28.0   669596.130  4552264.453   130.076    92.793 1   0.008   0.013 Fixed      N/A!            
11:30:29.0   669596.130  4552264.451   130.074    92.791 1   0.008   0.013 Fixed      N/A!            
11:30:30.0   669596.134  4552264.450   130.078    92.795 1   0.008   0.013 Fixed      N/A!            
11:30:31.0   669596.134  4552264.451   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:30:32.0   669596.130  4552264.456   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:30:33.0   669596.134  4552264.455   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:30:34.0   669596.134  4552264.455   130.075    92.792 1   0.008   0.012 Fixed      N/A!            
11:30:35.0   669596.135  4552264.453   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:30:36.0   669596.135  4552264.451   130.076    92.793 1   0.008   0.012 Fixed      N/A!            
11:30:37.0   669596.136  4552264.455   130.072    92.789 1   0.008   0.012 Fixed      N/A!            
11:30:38.0   669596.135  4552264.452   130.074    92.790 1   0.008   0.012 Fixed      N/A!            
11:30:39.0   669596.137  4552264.455   130.070    92.787 1   0.008   0.012 Fixed      N/A!            
11:30:40.0   669596.141  4552264.458   130.075    92.791 1   0.008   0.012 Fixed      N/A!            
11:30:41.0   669596.130  4552264.450   130.074    92.791 1   0.008   0.012 Fixed      N/A!            
11:30:42.0   669596.112  4552264.451   130.074    92.790 1   0.008   0.012 Fixed      N/A!            
11:30:43.0   669596.116  4552264.446   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:30:44.0   669596.117  4552264.456   130.071    92.788 1   0.008   0.013 Fixed      N/A!            
11:30:45.0   669596.114  4552264.450   130.077    92.794 1   0.008   0.013 Fixed      N/A!            
11:30:46.0   669596.119  4552264.440   130.076    92.793 1   0.008   0.013 Fixed      N/A!            
11:30:47.0   669596.121  4552264.450   130.075    92.792 1   0.008   0.013 Fixed      N/A!            
11:30:48.0   669596.128  4552264.452   130.075    92.792 1   0.008   0.013 Fixed      N/A!            
11:30:49.0   669596.121  4552264.450   130.075    92.791 1   0.008   0.013 Fixed      N/A!            
11:30:50.0   669596.123  4552264.452   130.079    92.795 1   0.008   0.013 Fixed      N/A!            
11:30:51.0   669596.130  4552264.450   130.077    92.794 1   0.008   0.013 Fixed      N/A!            
11:30:52.0   669596.130  4552264.451   130.081    92.797 1   0.008   0.013 Fixed      N/A!            
11:30:53.0   669596.132  4552264.454   130.082    92.798 1   0.008   0.013 Fixed      N/A!            
11:30:54.0   669596.133  4552264.454   130.078    92.795 1   0.008   0.013 Fixed      N/A!            
11:30:55.0   669596.134  4552264.449   130.081    92.797 1   0.008   0.013 Fixed      N/A!            
11:30:56.0   669596.128  4552264.459   130.077    92.793 1   0.008   0.013 Fixed      N/A!            
11:30:57.0   669596.128  4552264.455   130.078    92.794 1   0.008   0.013 Fixed      N/A!            
11:30:58.0   669596.131  4552264.459   130.078    92.794 1   0.008   0.013 Fixed      N/A!            
11:30:59.0   669596.132  4552264.461   130.075    92.792 1   0.008   0.013 Fixed      N/A!            
11:31:00.0   669596.108  4552264.466   130.075    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:01.0   669596.118  4552264.471   130.077    92.794 1   0.008   0.012 Fixed      N/A!            
11:31:02.0   669596.116  4552264.472   130.074    92.791 1   0.008   0.012 Fixed      N/A!            
11:31:03.0   669596.116  4552264.473   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:04.0   669596.123  4552264.470   130.076    92.793 1   0.008   0.012 Fixed      N/A!            
11:31:05.0   669596.127  4552264.463   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:06.0   669596.126  4552264.471   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:31:07.0   669596.139  4552264.484   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:08.0   669596.127  4552264.476   130.077    92.793 1   0.008   0.012 Fixed      N/A!            
11:31:09.0   669596.137  4552264.476   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:10.0   669596.147  4552264.476   130.069    92.785 1   0.008   0.012 Fixed      N/A!            
11:31:11.0   669596.139  4552264.474   130.071    92.787 1   0.008   0.012 Fixed      N/A!            
11:31:12.0   669596.138  4552264.471   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:31:13.0   669596.112  4552264.476   130.079    92.795 1   0.008   0.012 Fixed      N/A!            
11:31:14.0   669596.115  4552264.476   130.078    92.795 1   0.008   0.012 Fixed      N/A!            
11:31:15.0   669596.129  4552264.481   130.080    92.796 1   0.008   0.012 Fixed      N/A!            
11:31:16.0   669596.138  4552264.479   130.073    92.790 1   0.008   0.012 Fixed      N/A!            
11:31:17.0   669596.134  4552264.484   130.074    92.790 1   0.008   0.012 Fixed      N/A!            
11:31:18.0   669596.133  4552264.479   130.077    92.794 1   0.008   0.012 Fixed      N/A!            
11:31:19.0   669596.131  4552264.479   130.075    92.791 1   0.008   0.012 Fixed      N/A!            
11:31:20.0   669596.132  4552264.481   130.074    92.791 1   0.008   0.012 Fixed      N/A!            
11:31:21.0   669596.131  4552264.480   130.076    92.792 1   0.008   0.013 Fixed      N/A!            
11:31:22.0   669596.131  4552264.478   130.080    92.797 1   0.008   0.013 Fixed      N/A!            
11:31:23.0   669596.132  4552264.479   130.076    92.793 1   0.008   0.013 Fixed      N/A!            
11:31:24.0   669596.132  4552264.480   130.076    92.792 1   0.008   0.013 Fixed      N/A!            
11:31:25.0   669596.132  4552264.479   130.075    92.791 1   0.008   0.013 Fixed      N/A!            
11:31:26.0   669596.129  4552264.479   130.079    92.796 1   0.008   0.013 Fixed      N/A!            
11:31:27.0   669596.132  4552264.480   130.075    92.791 1   0.008   0.013 Fixed      N/A!            
11:31:28.0   669596.130  4552264.479   130.078    92.794 1   0.008   0.013 Fixed      N/A!            
11:31:29.0   669596.131  4552264.486   130.073    92.790 1   0.008   0.013 Fixed      N/A!            
11:31:30.0   669596.128  4552264.483   130.074    92.790 1   0.008   0.013 Fixed      N/A!            
11:31:31.0   669596.124  4552264.483   130.077    92.793 1   0.008   0.012 Fixed      N/A!            
11:31:32.0   669596.125  4552264.484   130.078    92.795 1   0.008   0.012 Fixed      N/A!            
11:31:33.0   669596.119  4552264.486   130.078    92.795 1   0.008   0.012 Fixed      N/A!            
11:31:34.0   669596.012  4552264.491   130.065    92.781 1   0.008   0.012 Fixed      N/A!            
11:31:35.0   669596.132  4552264.483   130.074    92.790 1   0.008   0.012 Fixed      N/A!            
11:31:36.0   669596.126  4552264.487   130.075    92.791 1   0.008   0.012 Fixed      N/A!            
11:31:37.0   669596.120  4552264.487   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:38.0   669596.123  4552264.488   130.074    92.790 1   0.008   0.012 Fixed      N/A!            
11:31:39.0   669596.123  4552264.487   130.076    92.792 1   0.008   0.012 Fixed      N/A!            
11:31:40.0   669596.122  4552264.490   130.071    92.787 1   0.008   0.012 Fixed      N/A!            
11:31:41.0   669596.123  4552264.491   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:31:42.0   669596.122  4552264.489   130.073    92.789 1   0.008   0.012 Fixed      N/A!            
11:31:43.0   669596.123  4552264.492   130.070    92.787 1   0.008   0.012 Fixed      N/A!            
11:31:44.0   669596.124  4552264.489   130.071    92.788 1   0.008   0.012 Fixed      N/A!            
11:31:45.0   669596.124  4552264.488   130.075    92.791 1   0.008   0.012 Fixed      N/A!            
11:31:46.0   669596.122  4552264.491   130.071    92.788 1   0.008   0.012 Fixed      N/A!            
11:31:47.0   669596.125  4552264.489   130.070    92.786 1   0.008   0.012 Fixed      N/A!            
11:31:48.0   669596.124  4552264.490   130.074    92.791 1   0.008   0.012 Fixed      N/A!            
11:31:49.0   669596.125  4552264.488   130.072    92.789 1   0.008   0.012 Fixed      N/A!            
11:31:50.0   669596.124  4552264.489   130.072    92.788 1   0.008   0.012 Fixed      N/A!            
11:31:51.0   669596.126  4552264.489   130.069    92.785 1   0.008   0.012 Fixed      N/A!            
11:31:52.0   669596.123  4552264.491   130.065    92.781 1   0.008   0.012 Fixed      N/A!            
11:31:53.0   669596.124  4552264.491   130.068    92.784 1   0.008   0.012 Fixed      N/A!            
11:31:54.0   669596.127  4552264.491   130.068    92.785 1   0.008   0.012 Fixed      N/A!            
11:31:55.0   669596.126  4552264.492   130.068    92.784 1   0.008   0.012 Fixed      N/A!            
11:31:56.0   669596.128  4552264.492   130.071    92.788 1   0.008   0.012 Fixed      N/A!            
11:31:57.0   669596.125  4552264.489   130.068    92.785 1   0.008   0.012 Fixed      N/A!            
11:31:58.0   669596.125  4552264.491   130.069    92.785 1   0.008   0.012 Fixed      N/A!            
11:31:59.0   669596.125  4552264.486   130.072    92.788 1   0.008   0.012 Fixed      N/A!            
11:32:00.0   669596.123  4552264.485   130.074    92.791 1   0.008   0.012 Fixed      N/A!            
11:32:01.0   669596.137  4552264.487   130.072    92.788 1   0.008   0.012 Fixed      N/A!            
11:32:02.0   669596.129  4552264.484   130.077    92.793 1   0.008   0.012 Fixed      N/A!            
11:32:03.0   669596.130  4552264.487   130.072    92.789 1   0.008   0.012 Fixed      N/A!            
11:32:04.0   669596.129  4552264.486   130.070    92.787 1   0.008   0.012 Fixed      N/A!            
11:32:05.0   669596.134  4552264.488   130.070    92.787 1   0.008   0.012 Fixed      N/A!            
11:32:06.0   669596.133  4552264.482   130.071    92.788 1   0.008   0.012 Fixed      N/A!            
11:32:07.0   669596.133  4552264.479   130.070    92.787 1   0.008   0.012 Fixed      N/A!            
11:32:08.0   669596.132  4552264.479   130.073    92.790 1   0.008   0.012 Fixed      N/A!            
11:32:09.0   669596.126  4552264.487   130.069    92.786 1   0.008   0.013 Fixed      N/A!            
11:32:10.0   669596.136  4552264.498   130.066    92.783 1   0.008   0.013 Fixed      N/A!            
11:32:11.0   669596.111  4552264.477   130.069    92.786 1   0.008   0.013 Fixed      N/A!            
11:32:12.0   669596.110  4552264.490   130.069    92.785 1   0.007   0.013 Fixed      N/A!            
11:32:13.0   669596.110  4552264.491   130.065    92.782 1   0.007   0.013 Fixed      N/A!            
11:32:14.0   669596.118  4552264.492   130.068    92.784 1   0.007   0.013 Fixed      N/A!            
11:32:15.0   669596.118  4552264.494   130.065    92.781 1   0.007   0.013 Fixed      N/A!            
11:32:16.0   669596.112  4552264.491   130.068    92.784 1   0.007   0.013 Fixed      N/A!            
11:32:17.0   669596.109  4552264.484   130.073    92.789 1   0.007   0.013 Fixed      N/A!            
11:32:18.0   669596.113  4552264.488   130.073    92.789 1   0.007   0.013 Fixed      N/A!            
